Student_ID,Gender,Age,Education,CGPA,Internships,Year,Hostel,Projects,Letter_of_Recommendation,Specialization,On/Off Campus,Package(LPA),HistoryOfBacklogs,Placement_Status
20268,Female,27,Master,5.01,3,2022,Not Opted,1,Yes,Computer Science,Off Campus,0,4,Not Placed
20269,Male,24,Master,8.59,0,2022,Not Opted,1,Yes,Computer Science,Off Campus,380060,2,Placed
20270,Male,24,Master,8.66,3,2023,Opted,2,No,Electrical,On Campus,603564,2,Placed
20271,Female,27,Bachelor,7.57,0,2020,Opted,3,Yes,Information Technology,On Campus,807748,0,Placed
20272,Female,23,Bachelor,5.81,4,2021,Opted,1,Yes,Computer Science,On Campus,448792,0,Placed
20273,Female,22,Bachelor,5.42,1,2023,Not Opted,4,Yes,Information Technology,On Campus,0,3,Not Placed
20274,Female,27,Bachelor,5.1,2,2018,Not Opted,0,Yes,Computer Science,On Campus,828956,2,Placed
20275,Male,27,Master,5.83,1,2018,Not Opted,3,No,Electrical,On Campus,0,3,Not Placed
20276,Female,24,Master,9.45,4,2022,Not Opted,2,Yes,Mechanical,Off Campus,0,4,Not Placed
20277,Male,27,Bachelor,6.21,0,2023,Opted,5,No,Mechanical,On Campus,997705,1,Placed
20278,Female,24,Master,6.77,1,2022,Opted,1,No,Electronics,Off Campus,320484,0,Placed
20279,Male,24,Master,5.53,4,2019,Opted,4,Yes,Information Technology,Off Campus,0,4,Not Placed
20280,Female,23,Bachelor,6.11,3,2022,Not Opted,3,Yes,Electrical,Off Campus,0,4,Not Placed
20281,Female,25,Bachelor,7.6,2,2019,Not Opted,4,No,Computer Science,On Campus,338966,0,Placed
20282,Female,28,Master,8.04,1,2018,Opted,4,No,Information Technology,On Campus,246073,0,Placed
20283,Female,30,Master,6.23,0,2023,Opted,5,No,Computer Science,Off Campus,769981,2,Placed
20284,Male,27,Bachelor,5.29,3,2019,Not Opted,2,No,Electronics,On Campus,0,3,Not Placed
20285,Female,27,Bachelor,6.96,4,2023,Opted,3,Yes,Mechanical,On Campus,0,4,Not Placed
20286,Male,27,Bachelor,6.17,2,2023,Opted,1,No,Electrical,Off Campus,362246,2,Placed
20287,Male,28,Master,6.1,0,2019,Not Opted,2,No,Electronics,On Campus,322388,2,Placed
20288,Male,21,Bachelor,9.8,4,2020,Not Opted,1,No,Computer Science,On Campus,0,4,Not Placed
20289,Male,24,Bachelor,8.08,4,2022,Not Opted,0,No,Electrical,On Campus,0,4,Not Placed
20290,Female,26,Master,7.78,1,2019,Opted,4,Yes,Electronics,On Campus,314441,1,Placed
20291,Male,29,Master,7.08,1,2018,Not Opted,0,Yes,Information Technology,Off Campus,0,3,Not Placed
20292,Male,24,Master,7.14,0,2023,Opted,4,Yes,Computer Science,Off Campus,0,4,Not Placed
20293,Male,24,Master,7.7,4,2021,Opted,5,No,Mechanical,On Campus,439343,0,Placed
20294,Female,30,Master,8.48,1,2019,Not Opted,2,No,Electronics,On Campus,636142,1,Placed
20295,Female,22,Bachelor,8.51,2,2022,Opted,1,Yes,Mechanical,On Campus,0,3,Not Placed
20296,Female,27,Bachelor,5.86,2,2023,Not Opted,5,Yes,Electronics,Off Campus,832551,0,Placed
20297,Female,24,Master,7.5,4,2020,Not Opted,1,No,Civil,On Campus,637991,0,Placed
20298,Male,30,Master,,1,2018,Opted,2,Yes,Computer Science,On Campus,0,3,Not Placed
20299,Male,24,Master,9.35,0,2020,Opted,3,No,Computer Science,Off Campus,489669,1,Placed
20300,Female,27,Master,8.16,0,2021,Not Opted,0,No,Information Technology,On Campus,589860,0,Placed
20301,Male,24,Master,7.66,0,2019,Not Opted,0,No,Computer Science,Off Campus,566657,2,Placed
20302,Male,23,Bachelor,5.58,2,2023,Not Opted,1,No,Electrical,On Campus,0,3,Not Placed
20303,Male,27,Bachelor,8.03,1,2019,Not Opted,1,No,Electrical,Off Campus,0,3,Not Placed
20304,Female,24,Bachelor,5.59,1,2022,Not Opted,1,No,Electrical,On Campus,0,4,Not Placed
20305,Female,21,Bachelor,6.69,2,2019,Not Opted,2,Yes,Computer Science,On Campus,671820,1,Placed
20306,Male,25,Master,,0,2018,Opted,3,Yes,Mechanical,Off Campus,349712,2,Placed
20307,Female,27,Bachelor,,0,2021,Opted,0,Yes,Computer Science,Off Campus,559838,2,Placed
20308,Female,28,Master,6.03,4,2020,Opted,5,No,Information Technology,Off Campus,0,4,Not Placed
20309,Female,29,Master,6.96,3,2021,Opted,4,Yes,Electronics,Off Campus,760424,0,Placed
20310,Female,30,Master,9.48,1,2023,Not Opted,2,No,Electronics,Off Campus,256539,0,Placed
20311,Female,27,Bachelor,6.02,1,2019,Opted,0,No,Information Technology,On Campus,412736,2,Placed
20312,Male,27,Master,,1,2023,Opted,3,No,Computer Science,Off Campus,618158,1,Placed
20313,Female,24,Bachelor,7.1,3,2020,Not Opted,2,No,Electrical,Off Campus,268363,0,Placed
20314,Male,25,Bachelor,5.09,4,2023,Opted,5,Yes,Computer Science,Off Campus,0,3,Not Placed
20315,Male,24,Master,8.96,3,2022,Not Opted,0,Yes,Computer Science,Off Campus,0,4,Not Placed
20316,Female,24,Master,5.35,0,2021,Not Opted,2,Yes,Electrical,On Campus,497399,1,Placed
20317,Male,24,Master,7.37,0,2020,Not Opted,0,No,Information Technology,On Campus,393201,0,Placed
20318,Male,27,Bachelor,7.8,1,2020,Not Opted,0,Yes,Information Technology,On Campus,678739,2,Placed
20319,Male,24,Master,8.14,2,2020,Not Opted,3,Yes,Information Technology,On Campus,0,4,Not Placed
20320,Female,24,Bachelor,8.44,1,2018,Opted,4,Yes,Civil,On Campus,442723,0,Placed
20321,Female,24,Master,6.27,2,2021,Opted,3,No,Civil,Off Campus,810725,2,Placed
20322,Male,25,Master,5.05,3,2023,Opted,0,Yes,Information Technology,On Campus,347349,0,Placed
20323,Female,27,Bachelor,8.62,0,2020,Not Opted,2,No,Computer Science,On Campus,0,4,Not Placed
20324,Female,21,Bachelor,7.68,2,2021,Opted,5,Yes,Information Technology,Off Campus,0,3,Not Placed
20325,Female,25,Bachelor,9.18,3,2020,Opted,3,No,Computer Science,Off Campus,0,3,Not Placed
20326,Female,27,Bachelor,9.11,0,2022,Opted,4,Yes,Electrical,On Campus,253629,2,Placed
20327,Male,21,Bachelor,9.22,2,2022,Opted,0,Yes,Electrical,On Campus,0,3,Not Placed
20328,Male,27,Bachelor,7.43,1,2022,Not Opted,5,Yes,Information Technology,Off Campus,0,4,Not Placed
20329,Female,28,Master,6.67,1,2019,Opted,3,No,Information Technology,On Campus,970109,2,Placed
20330,Female,24,Master,8.96,1,2020,Not Opted,3,Yes,Computer Science,Off Campus,471601,0,Placed
20331,Male,27,Bachelor,7.26,3,2019,Not Opted,3,Yes,Information Technology,Off Campus,390701,1,Placed
20332,Male,25,Master,5.92,1,2021,Opted,3,No,Information Technology,On Campus,496066,0,Placed
20333,Female,25,Bachelor,9.27,4,2019,Not Opted,5,No,Electrical,On Campus,0,4,Not Placed
20334,Male,26,Master,9.41,0,2021,Not Opted,2,No,Electrical,On Campus,625966,2,Placed
20335,Female,27,Master,7.33,3,2021,Not Opted,4,No,Electrical,Off Campus,570266,0,Placed
20336,Female,27,Bachelor,5.38,1,2021,Not Opted,4,Yes,Information Technology,Off Campus,302020,2,Placed
20337,Male,27,Bachelor,6.94,0,2023,Not Opted,0,Yes,Electrical,On Campus,0,3,Not Placed
20338,Male,22,Bachelor,9.02,2,2019,Not Opted,1,No,Computer Science,On Campus,713463,1,Placed
20339,Female,29,Master,9.51,1,2023,Not Opted,2,Yes,Computer Science,On Campus,0,4,Not Placed
20340,Female,27,Bachelor,6.02,0,2020,Opted,0,No,Electrical,Off Campus,365493,0,Placed
20341,Male,24,Master,5.33,4,2019,Opted,0,Yes,Computer Science,Off Campus,973317,1,Placed
20342,Female,24,Bachelor,9.39,2,2020,Not Opted,3,No,Electrical,Off Campus,0,4,Not Placed
20343,Male,28,Master,6.95,4,2020,Not Opted,1,Yes,Electronics,On Campus,0,4,Not Placed
20344,Female,24,Master,,0,2021,Opted,1,No,Mechanical,Off Campus,0,3,Not Placed
20345,Male,26,Bachelor,9.84,4,2019,Opted,2,No,Civil,Off Campus,410694,2,Placed
20346,Male,25,Master,5.33,0,2020,Opted,1,Yes,Computer Science,On Campus,462051,2,Placed
20347,Male,24,Master,8.24,0,2022,Opted,0,Yes,Civil,Off Campus,629387,1,Placed
20348,Female,27,Bachelor,5.37,4,2020,Not Opted,1,Yes,Electronics,On Campus,0,3,Not Placed
20349,Female,24,Master,6.88,0,2022,Not Opted,1,No,Electrical,Off Campus,0,4,Not Placed
20350,Male,27,Bachelor,9.02,1,2019,Opted,4,Yes,Computer Science,On Campus,0,3,Not Placed
20351,Female,27,Bachelor,7.17,0,2023,Opted,0,No,Mechanical,On Campus,0,3,Not Placed
20352,Male,27,Bachelor,,3,2019,Opted,5,Yes,Computer Science,Off Campus,361466,1,Placed
20353,Male,21,Bachelor,7.8,0,2023,Opted,1,Yes,Electronics,On Campus,345468,2,Placed
20354,Female,30,Master,6.61,3,2023,Not Opted,1,No,Computer Science,Off Campus,0,3,Not Placed
20355,Female,24,Master,6.1,0,2019,Opted,3,No,Electrical,On Campus,0,3,Not Placed
20356,Male,28,Master,6.75,0,2020,Opted,1,Yes,Information Technology,On Campus,0,3,Not Placed
20357,Female,26,Bachelor,6.86,4,2018,Opted,1,No,Computer Science,On Campus,707026,0,Placed
20358,Female,25,Master,5.34,1,2020,Not Opted,4,No,Computer Science,Off Campus,0,3,Not Placed
20359,Male,25,Master,6.85,1,2020,Not Opted,0,Yes,Information Technology,On Campus,0,3,Not Placed
20360,Male,26,Bachelor,7.32,2,2021,Not Opted,2,No,Computer Science,On Campus,0,4,Not Placed
20361,Female,27,Bachelor,8.61,4,2021,Opted,0,Yes,Information Technology,Off Campus,858554,0,Placed
20362,Male,24,Master,8.28,4,2020,Opted,3,Yes,Electrical,On Campus,0,3,Not Placed
20363,Male,27,Bachelor,8.54,1,2022,Opted,0,No,Electronics,On Campus,0,3,Not Placed
20364,Female,23,Bachelor,5.04,4,2023,Not Opted,1,Yes,Electrical,On Campus,678911,1,Placed
20365,Male,24,Bachelor,6.09,1,2021,Not Opted,3,No,Computer Science,On Campus,527111,1,Placed
20366,Male,27,Bachelor,8.31,4,2020,Opted,0,Yes,Information Technology,Off Campus,964302,0,Placed
20367,Female,24,Master,7.42,0,2018,Opted,3,No,Computer Science,On Campus,0,4,Not Placed
20368,Female,27,Bachelor,5.03,1,2022,Not Opted,2,No,Mechanical,On Campus,461041,0,Placed
20369,Male,23,Bachelor,9.02,1,2019,Opted,0,No,Mechanical,Off Campus,401958,0,Placed
20370,Male,22,Bachelor,8.86,3,2020,Opted,5,No,Information Technology,On Campus,560981,1,Placed
20371,Female,22,Bachelor,7.74,4,2020,Opted,1,No,Computer Science,On Campus,356049,1,Placed
20372,Female,21,Bachelor,5.33,4,2023,Not Opted,3,Yes,Mechanical,Off Campus,0,4,Not Placed
20373,Female,27,Bachelor,8.83,1,2022,Opted,5,Yes,Mechanical,Off Campus,0,3,Not Placed
20374,Female,23,Bachelor,7.92,0,2021,Opted,5,No,Mechanical,Off Campus,0,4,Not Placed
20375,Male,23,Bachelor,8.91,0,2021,Opted,4,Yes,Electronics,Off Campus,0,3,Not Placed
20376,Female,26,Master,8.76,0,2021,Opted,3,No,Information Technology,On Campus,448719,2,Placed
20377,Female,27,Bachelor,9.02,4,2019,Not Opted,5,No,Computer Science,Off Campus,641719,1,Placed
20378,Male,29,Master,7.59,3,2022,Not Opted,4,Yes,Information Technology,On Campus,358621,2,Placed
20379,Female,27,Bachelor,5.7,1,2022,Not Opted,5,Yes,Information Technology,Off Campus,736630,2,Placed
20380,Male,24,Bachelor,8.36,2,2021,Opted,1,No,Information Technology,On Campus,931874,1,Placed
20381,Female,25,Bachelor,8.1,3,2021,Not Opted,2,No,Electrical,Off Campus,907609,2,Placed
20382,Female,22,Bachelor,8.71,2,2023,Opted,4,No,Computer Science,Off Campus,963076,0,Placed
20383,Female,29,Master,5.85,3,2018,Not Opted,2,No,Information Technology,On Campus,0,3,Not Placed
20384,Male,27,Bachelor,5.97,0,2018,Opted,3,No,Information Technology,Off Campus,0,4,Not Placed
20385,Male,23,Bachelor,9.45,4,2020,Not Opted,1,No,Computer Science,Off Campus,430099,1,Placed
20386,Female,29,Master,,2,2020,Not Opted,4,Yes,Information Technology,Off Campus,725587,0,Placed
20387,Male,24,Master,9.54,3,2022,Not Opted,3,No,Electronics,On Campus,0,4,Not Placed
20388,Male,27,Bachelor,8.79,4,2022,Opted,5,No,Electronics,Off Campus,0,4,Not Placed
20389,Male,24,Master,7.99,2,2019,Opted,0,Yes,Information Technology,Off Campus,0,4,Not Placed
20390,Male,30,Master,8.27,1,2019,Opted,3,No,Electrical,On Campus,648052,2,Placed
20391,Male,29,Master,9.45,3,2018,Not Opted,2,No,Computer Science,On Campus,373453,2,Placed
20392,Male,27,Bachelor,7.89,1,2020,Opted,1,Yes,Electrical,Off Campus,705275,2,Placed
20393,Female,27,Bachelor,8.16,0,2018,Opted,1,No,Information Technology,On Campus,576430,2,Placed
20394,Female,25,Bachelor,5.78,1,2018,Opted,3,Yes,Information Technology,On Campus,518442,0,Placed
20395,Male,24,Master,7.37,1,2020,Opted,5,No,Mechanical,On Campus,981798,2,Placed
20396,Female,27,Bachelor,8.58,3,2019,Opted,0,Yes,Information Technology,Off Campus,845323,1,Placed
20397,Female,26,Master,6.35,0,2023,Opted,2,Yes,Computer Science,Off Campus,0,4,Not Placed
20398,Female,27,Bachelor,6.01,1,2023,Not Opted,3,Yes,Computer Science,On Campus,644740,0,Placed
20399,Female,25,Bachelor,6.57,4,2023,Not Opted,3,No,Information Technology,Off Campus,716030,2,Placed
20400,Male,30,Master,6.21,2,2020,Opted,1,No,Information Technology,On Campus,0,4,Not Placed
20401,Female,22,Bachelor,6.07,1,2021,Not Opted,2,Yes,Mechanical,Off Campus,315637,0,Placed
20402,Female,26,Master,7.12,0,2021,Not Opted,0,Yes,Electrical,On Campus,0,4,Not Placed
20403,Male,25,Master,9.54,1,2021,Opted,1,No,Electronics,Off Campus,722222,0,Placed
20404,Male,25,Bachelor,7.54,2,2022,Opted,3,No,Information Technology,On Campus,0,3,Not Placed
20405,Female,24,Master,5.94,0,2019,Not Opted,1,No,Information Technology,Off Campus,308197,0,Placed
20406,Female,22,Bachelor,5.38,3,2019,Opted,1,No,Information Technology,Off Campus,330860,2,Placed
20407,Female,27,Bachelor,8.48,0,2022,Not Opted,4,No,Information Technology,On Campus,0,4,Not Placed
20408,Female,24,Master,6.91,3,2018,Not Opted,1,Yes,Electrical,Off Campus,0,4,Not Placed
20409,Female,27,Bachelor,9.11,0,2023,Not Opted,5,No,Computer Science,Off Campus,0,4,Not Placed
20410,Female,24,Master,8.3,2,2021,Opted,1,Yes,Mechanical,Off Campus,446130,1,Placed
20411,Male,27,Bachelor,8.98,2,2023,Not Opted,5,No,Information Technology,Off Campus,469981,1,Placed
20412,Female,27,Bachelor,6.36,0,2021,Opted,2,Yes,Computer Science,Off Campus,932068,2,Placed
20413,Female,22,Bachelor,8.46,1,2023,Opted,1,Yes,Computer Science,Off Campus,0,3,Not Placed
20414,Male,27,Bachelor,6.32,2,2018,Opted,0,No,Computer Science,Off Campus,458750,1,Placed
20415,Male,21,Bachelor,9.7,3,2023,Opted,5,Yes,Information Technology,Off Campus,715046,0,Placed
20416,Male,26,Master,8.18,3,2023,Opted,5,Yes,Computer Science,On Campus,492490,2,Placed
20417,Male,28,Master,6.62,4,2020,Not Opted,3,Yes,Computer Science,Off Campus,0,3,Not Placed
20418,Female,24,Master,6.35,3,2023,Opted,2,Yes,Electrical,On Campus,485556,0,Placed
20419,Female,28,Master,5.95,4,2020,Opted,1,No,Electrical,Off Campus,0,4,Not Placed
20420,Female,24,Master,8.47,0,2019,Opted,0,Yes,Computer Science,On Campus,318833,1,Placed
20421,Female,29,Master,6.09,0,2022,Opted,3,No,Information Technology,Off Campus,624020,0,Placed
20422,Female,27,Bachelor,7.98,0,2023,Opted,2,Yes,Electronics,On Campus,0,3,Not Placed
20423,Female,25,Bachelor,6.32,1,2019,Not Opted,5,No,Civil,On Campus,210934,2,Placed
20424,Male,30,Master,8.31,1,2020,Opted,0,No,Electrical,Off Campus,492867,0,Placed
20425,Female,24,Master,9.07,4,2023,Opted,1,No,Computer Science,On Campus,613621,2,Placed
20426,Male,26,Bachelor,8.89,3,2023,Not Opted,4,Yes,Electronics,Off Campus,0,4,Not Placed
20427,Male,27,Bachelor,8.8,3,2018,Opted,4,No,Electrical,Off Campus,0,3,Not Placed
20428,Female,25,Bachelor,5.94,0,2019,Not Opted,2,No,Computer Science,On Campus,0,3,Not Placed
20429,Male,30,Master,5.44,2,2021,Not Opted,0,Yes,Mechanical,Off Campus,681891,1,Placed
20430,Female,29,Master,8.49,1,2021,Not Opted,3,No,Information Technology,On Campus,0,3,Not Placed
20431,Male,24,Master,6.84,1,2018,Not Opted,0,Yes,Civil,On Campus,698577,0,Placed
20432,Female,27,Bachelor,7.16,0,2020,Opted,5,Yes,Electronics,Off Campus,760811,0,Placed
20433,Male,27,Bachelor,,1,2021,Opted,4,No,Electrical,Off Campus,583094,0,Placed
20434,Female,30,Master,6.3,0,2021,Not Opted,2,Yes,Electronics,Off Campus,0,4,Not Placed
20435,Female,25,Master,5.17,4,2022,Not Opted,1,Yes,Information Technology,Off Campus,0,3,Not Placed
20436,Female,27,Bachelor,9.4,3,2019,Opted,0,Yes,Electrical,Off Campus,0,3,Not Placed
20437,Female,22,Bachelor,6.22,2,2020,Not Opted,4,No,Mechanical,On Campus,424310,0,Placed
20438,Female,24,Bachelor,7.79,3,2023,Not Opted,3,Yes,Electronics,On Campus,442024,1,Placed
20439,Male,22,Bachelor,5.19,3,2019,Not Opted,2,Yes,Mechanical,Off Campus,457476,1,Placed
20440,Male,27,Master,8.33,4,2020,Opted,1,Yes,Mechanical,Off Campus,0,3,Not Placed
20441,Male,22,Bachelor,6.62,1,2021,Not Opted,0,No,Civil,Off Campus,0,3,Not Placed
20442,Female,21,Bachelor,9.49,2,2022,Opted,3,Yes,Electronics,On Campus,943631,2,Placed
20443,Male,27,Bachelor,9.44,1,2019,Opted,1,No,Electrical,On Campus,0,3,Not Placed
20444,Female,24,Master,6.63,3,2021,Opted,5,Yes,Computer Science,On Campus,276620,0,Placed
20445,Female,28,Master,,0,2020,Not Opted,4,No,Electronics,Off Campus,0,4,Not Placed
20446,Male,22,Bachelor,9.98,3,2019,Not Opted,5,No,Computer Science,Off Campus,0,3,Not Placed
20447,Male,27,Bachelor,9.13,1,2023,Opted,4,No,Computer Science,On Campus,0,3,Not Placed
20448,Female,23,Bachelor,,3,2019,Opted,3,Yes,Computer Science,Off Campus,367596,0,Placed
20449,Male,26,Master,6.25,0,2021,Opted,5,Yes,Mechanical,Off Campus,647822,2,Placed
20450,Female,24,Master,7.88,4,2019,Not Opted,4,Yes,Mechanical,On Campus,0,3,Not Placed
20451,Female,27,Master,5.34,1,2023,Not Opted,2,No,Electrical,On Campus,794515,1,Placed
20452,Female,27,Bachelor,5.47,3,2022,Opted,3,Yes,Information Technology,Off Campus,485356,1,Placed
20453,Female,29,Master,9.99,1,2022,Opted,4,Yes,Electrical,On Campus,502262,1,Placed
20454,Female,22,Bachelor,6.63,4,2021,Not Opted,0,No,Electrical,Off Campus,0,4,Not Placed
20455,Male,25,Bachelor,,3,2020,Opted,4,Yes,Information Technology,On Campus,0,4,Not Placed
20456,Male,26,Bachelor,9.03,3,2021,Not Opted,5,Yes,Information Technology,On Campus,0,3,Not Placed
20457,Female,24,Master,9.29,1,2022,Not Opted,2,No,Information Technology,Off Campus,0,3,Not Placed
20458,Female,24,Bachelor,9.99,1,2018,Opted,1,No,Electrical,Off Campus,0,3,Not Placed
20459,Male,24,Master,6.21,0,2018,Opted,1,Yes,Electrical,On Campus,0,4,Not Placed
20460,Male,24,Master,5.2,4,2019,Not Opted,4,No,Information Technology,Off Campus,0,3,Not Placed
20461,Female,24,Bachelor,7.06,0,2023,Not Opted,1,Yes,Civil,On Campus,452196,0,Placed
20462,Male,21,Bachelor,5.65,3,2019,Not Opted,4,Yes,Computer Science,Off Campus,636060,2,Placed
20463,Female,26,Master,5.11,1,2018,Not Opted,2,Yes,Information Technology,On Campus,996184,1,Placed
20464,Male,21,Bachelor,6.8,3,2022,Not Opted,1,Yes,Information Technology,On Campus,412620,1,Placed
20465,Female,30,Master,8.92,3,2019,Opted,5,Yes,Computer Science,On Campus,667927,0,Placed
20466,Male,26,Bachelor,7.83,2,2021,Not Opted,5,No,Information Technology,Off Campus,0,3,Not Placed
20467,Female,24,Master,6.56,2,2023,Not Opted,0,No,Computer Science,On Campus,0,4,Not Placed
20468,Male,26,Master,8.27,3,2021,Not Opted,4,Yes,Electrical,On Campus,0,3,Not Placed
20469,Male,30,Master,6.16,1,2023,Opted,1,No,Information Technology,On Campus,0,3,Not Placed
20470,Female,28,Master,5.07,3,2022,Opted,5,No,Electronics,On Campus,971784,1,Placed
20471,Male,22,Bachelor,8.82,2,2019,Not Opted,2,Yes,Electrical,Off Campus,623026,1,Placed
20472,Female,22,Bachelor,8.12,1,2023,Not Opted,2,No,Computer Science,Off Campus,0,4,Not Placed
20473,Male,24,Master,8.81,3,2021,Opted,0,No,Electronics,On Campus,264467,1,Placed
20474,Female,24,Master,5.19,4,2019,Opted,2,Yes,Computer Science,On Campus,0,3,Not Placed
20475,Male,24,Bachelor,,4,2019,Opted,2,Yes,Electronics,Off Campus,642762,0,Placed
20476,Female,27,Bachelor,8.1,3,2021,Opted,1,Yes,Mechanical,On Campus,0,4,Not Placed
20477,Male,21,Bachelor,7.82,1,2018,Not Opted,4,Yes,Information Technology,Off Campus,989480,0,Placed
20478,Female,26,Bachelor,8.12,3,2023,Opted,3,Yes,Mechanical,On Campus,0,3,Not Placed
20479,Male,23,Bachelor,9.32,3,2021,Not Opted,2,Yes,Electronics,Off Campus,0,4,Not Placed
20480,Female,27,Bachelor,7.93,2,2022,Not Opted,2,Yes,Mechanical,On Campus,538781,0,Placed
20481,Female,27,Master,7.9,4,2020,Opted,3,No,Electrical,Off Campus,0,4,Not Placed
20482,Female,27,Bachelor,9.95,2,2021,Opted,2,Yes,Computer Science,Off Campus,0,3,Not Placed
20483,Male,22,Bachelor,8.78,2,2019,Opted,1,No,Mechanical,Off Campus,0,4,Not Placed
20484,Female,24,Master,7.21,3,2019,Opted,1,No,Computer Science,On Campus,0,3,Not Placed
20485,Male,24,Bachelor,8.54,2,2021,Not Opted,3,Yes,Computer Science,Off Campus,0,4,Not Placed
20486,Female,21,Bachelor,6.95,4,2020,Not Opted,5,No,Computer Science,Off Campus,0,4,Not Placed
20487,Male,23,Bachelor,6.14,2,2021,Not Opted,2,No,Information Technology,On Campus,605890,1,Placed
20488,Female,27,Bachelor,7.98,4,2020,Opted,5,No,Electrical,On Campus,0,3,Not Placed
20489,Male,27,Bachelor,9.64,2,2020,Not Opted,2,Yes,Electronics,On Campus,709325,2,Placed
20490,Male,27,Master,9.65,4,2022,Opted,4,No,Mechanical,On Campus,0,4,Not Placed
20491,Female,24,Bachelor,6.71,2,2023,Not Opted,2,No,Computer Science,Off Campus,972793,0,Placed
20492,Male,24,Master,7.64,2,2019,Opted,1,Yes,Civil,On Campus,211957,1,Placed
20493,Male,24,Master,6.06,1,2019,Not Opted,0,No,Mechanical,On Campus,217829,1,Placed
20494,Female,26,Bachelor,9.98,4,2020,Not Opted,0,No,Computer Science,On Campus,0,4,Not Placed
20495,Male,24,Master,9.91,4,2019,Opted,0,No,Information Technology,On Campus,657357,2,Placed
20496,Male,21,Bachelor,8.25,4,2018,Not Opted,0,No,Electronics,On Campus,346104,1,Placed
20497,Male,28,Master,9.02,0,2020,Not Opted,5,No,Electrical,On Campus,0,3,Not Placed
20498,Female,25,Master,8.58,2,2019,Opted,5,Yes,Electronics,On Campus,0,4,Not Placed
20499,Male,25,Bachelor,7.97,4,2018,Opted,2,No,Electronics,Off Campus,0,4,Not Placed
20500,Female,24,Bachelor,5.27,0,2022,Opted,5,Yes,Information Technology,Off Campus,649535,2,Placed
20501,Male,26,Bachelor,7.27,1,2019,Opted,2,No,Computer Science,Off Campus,0,3,Not Placed
20502,Male,23,Bachelor,8.37,4,2018,Opted,4,Yes,Electrical,Off Campus,0,3,Not Placed
20503,Male,27,Bachelor,8.39,4,2021,Not Opted,2,Yes,Computer Science,Off Campus,503391,2,Placed
20504,Female,25,Master,6.87,0,2023,Opted,0,Yes,Electrical,On Campus,853980,0,Placed
20505,Male,24,Master,9.71,2,2021,Not Opted,3,No,Electronics,On Campus,0,3,Not Placed
20506,Male,24,Master,5.84,1,2018,Not Opted,3,No,Electrical,On Campus,974474,0,Placed
20507,Female,30,Master,7.5,4,2020,Opted,1,No,Civil,On Campus,406604,0,Placed
20508,Male,26,Master,,2,2020,Not Opted,1,No,Information Technology,Off Campus,0,4,Not Placed
20509,Female,24,Master,8.49,1,2019,Not Opted,2,No,Electronics,Off Campus,0,4,Not Placed
20510,Female,24,Master,8.24,3,2021,Opted,3,Yes,Electrical,On Campus,843346,1,Placed
20511,Male,21,Bachelor,6.38,3,2020,Not Opted,0,Yes,Civil,On Campus,0,4,Not Placed
20512,Female,27,Bachelor,5.78,1,2020,Opted,5,Yes,Electronics,Off Campus,0,3,Not Placed
20513,Male,28,Master,8.18,0,2021,Opted,0,No,Computer Science,Off Campus,0,3,Not Placed
20514,Female,24,Master,8.0,1,2022,Opted,0,No,Civil,Off Campus,275503,0,Placed
20515,Female,27,Bachelor,5.9,1,2020,Not Opted,2,Yes,Electrical,On Campus,0,3,Not Placed
20516,Male,27,Bachelor,8.53,0,2023,Not Opted,2,No,Computer Science,On Campus,0,4,Not Placed
20517,Female,21,Bachelor,7.28,0,2018,Not Opted,4,No,Electrical,Off Campus,0,4,Not Placed
20518,Female,25,Bachelor,8.34,2,2019,Not Opted,0,Yes,Mechanical,Off Campus,0,4,Not Placed
20519,Female,28,Master,9.19,2,2020,Opted,0,Yes,Electrical,On Campus,879093,2,Placed
20520,Female,22,Bachelor,5.85,0,2023,Not Opted,2,No,Information Technology,On Campus,0,3,Not Placed
20521,Female,24,Master,5.1,3,2023,Opted,2,No,Electronics,On Campus,681522,1,Placed
20522,Male,27,Master,8.9,3,2020,Not Opted,4,Yes,Electronics,On Campus,0,3,Not Placed
20523,Female,24,Master,8.05,1,2022,Not Opted,4,No,Electrical,Off Campus,0,3,Not Placed
20524,Male,25,Bachelor,8.5,4,2018,Not Opted,1,Yes,Computer Science,Off Campus,335047,2,Placed
20525,Female,27,Bachelor,9.19,1,2019,Not Opted,3,Yes,Computer Science,Off Campus,0,3,Not Placed
20526,Male,30,Master,9.01,1,2020,Not Opted,0,Yes,Electronics,On Campus,933815,0,Placed
20527,Male,24,Master,9.8,4,2019,Opted,0,No,Electronics,On Campus,0,4,Not Placed
20528,Female,24,Master,7.68,0,2021,Not Opted,4,Yes,Computer Science,On Campus,0,4,Not Placed
20529,Female,27,Bachelor,7.44,3,2023,Not Opted,4,Yes,Information Technology,Off Campus,373226,2,Placed
20530,Female,27,Master,7.01,1,2023,Not Opted,1,No,Computer Science,Off Campus,0,4,Not Placed
20531,Male,21,Bachelor,5.77,4,2020,Not Opted,3,Yes,Electronics,Off Campus,711559,0,Placed
20532,Female,24,Master,7.86,2,2020,Opted,1,No,Computer Science,On Campus,810994,2,Placed
20533,Male,24,Master,6.39,1,2021,Not Opted,3,No,Computer Science,On Campus,316905,1,Placed
20534,Male,29,Master,9.61,3,2022,Opted,5,No,Computer Science,Off Campus,0,4,Not Placed
